"","Dim.1","Dim.2","Dim.3","Dim.4"
"2678",-4.23804178860842,1.0948252377015,-0.354332469207441,0.35080243863708
"2679",-3.9621247476823,1.0848774143673,-0.392104294810561,0.335977514637093
"2680",-4.40633590812938,0.573999849618697,-0.439716942048402,0.346330159461701
"2681",-4.28573341835944,0.569651686642357,-0.456226890819969,0.33985023078804
"2682",-4.00981637743332,0.559703863308155,-0.493998716423089,0.325025306788053
"2683",-4.3976738909828,0.58219548822726,-0.441979350788583,0.439516419519258
"2684",-4.27707140121286,0.577847325250919,-0.458489299560151,0.433036490845598
"2685",-4.00115436028674,0.567899501916718,-0.496261125163271,0.41821156684561
"2686",-4.6677979986056,-1.25395833782929,-0.747928978816171,-0.813260473834123
"2687",-4.54719550883565,-1.25830650080563,-0.764438927587738,-0.819740402507783
"2688",-4.27127846790954,-1.26825432413984,-0.802210753190858,-0.83456532650777
"2689",-4.56363610827125,-1.23425712071775,-0.50756710068181,0.768822935589053
"2690",-4.40667245892315,-1.23991623712595,-0.529054731780294,0.760389334806238
"2691",-4.08212473420726,-1.25161737533095,-0.573483883443824,0.742951501546167
"2692",-4.49265925767492,1.22918612545604,0.0447055281679901,-0.974042472989093
"2693",-4.33569560832682,1.22352700904784,0.023217897069506,-0.982476073771907
"2694",-4.01114788361093,1.21182587084284,-0.021211254594023,-0.999913907031979
"2695",-4.71833397994735,-0.697718625849919,-0.30448919639486,-1.60971970412793
"2696",-4.56137033059925,-0.703377742258117,-0.325976827493344,-1.61815330491075
"2697",-4.23682260588336,-0.715078880463116,-0.370405979156873,-1.63559113817082
"2698",-4.38298131160548,0.678599986457273,-0.13981335239705,0.890313761932168
"2699",-4.22601766225738,0.672940870049075,-0.161300983495534,0.881880161149354
"2700",-3.90146993754148,0.661239731844076,-0.205730135159063,0.864442327889282
"2701",-4.39912193062594,1.02344391340422,-0.0498158454462515,0.340003740088084
"2702",-4.24215828127784,1.01778479699602,-0.0713034765447357,0.33157013930527
"2703",-3.91761055656194,1.00608365879102,-0.115732628208265,0.314132306045198
"2704",-4.44351252132998,0.512731081249731,-0.149871813104191,0.35270566298283
"2705",-4.28654887198188,0.507071964841533,-0.171359444202675,0.344272062200016
"2706",-3.96200114726599,0.495370826636534,-0.215788595866204,0.326834228939944
"2707",-4.43255548570095,0.531581742005046,-0.150712811289783,0.461708275088141
"2708",-4.27559183635286,0.525922625596848,-0.172200442388267,0.453274674305327
"2709",-3.95104411163696,0.514221487391849,-0.216629594051796,0.435836841045256
"2710",-4.70449140717665,-1.3052439085286,-0.455940901260493,-0.811650525376337
"2711",-4.54752775782855,-1.3109030249368,-0.477428532358977,-0.82008412615915
"2712",-4.22298003311266,-1.3226041631418,-0.521857684022506,-0.837521959419222
"2713",-4.53992493935836,-1.28157470926557,-0.236700375102605,0.789628935068279
"2714",-4.49474623968483,-1.28320356742276,-0.242885139767072,0.787201499681069
"2715",-4.21245391053649,-1.29338124332688,-0.281529714201114,0.772034033723342
"2716",-4.47607010669819,1.15155602619337,0.31181696966462,-1.00519780738403
"2717",-4.43089140702466,1.14992716803618,0.305632205000152,-1.00762524277124
"2718",-4.14859907787632,1.13974949213206,0.266987630566111,-1.02279270872897
"2719",-4.69912280956362,-0.768956989571455,-0.0371309943030463,-1.61675792904143
"2720",-4.65394410989009,-0.770585847728648,-0.0433157589675137,-1.61918536442864
"2721",-4.37165178074175,-0.780763523632761,-0.0819603334015554,-1.63435283038637
"2722",-4.36251438362962,0.620609038467728,0.130089455964049,0.884171426036673
"2723",-4.31733568395609,0.618980180310534,0.123904691299582,0.881743990649463
"2724",-4.03504335480775,0.608802504406421,0.0852601168655403,0.866576524691736
"2725",-4.36450901376529,1.02205615190857,0.22668721119783,0.440838951343387
"2726",-4.31933031409176,1.02042729375138,0.220502446533363,0.438411515956177
"2727",-4.03703798494342,1.01024961784727,0.181857872099321,0.42324404999845
"2728",-4.42456889088851,0.439558416312199,0.117155802660412,0.344547678001553
"2729",-4.37939019121498,0.437929558155005,0.110971037995944,0.342120242614343
"2730",-4.09709786206664,0.427751882250892,0.0723264635619026,0.326952776656616
"2731",-4.40384266813288,0.505621907550484,0.122807823042644,0.518932559050355
"2732",-4.35866396845935,0.503993049393291,0.116623058378177,0.516505123663145
"2733",-4.07637163931102,0.493815373489177,0.0779784839441349,0.501337657705418
"2734",-4.68221563050473,-1.35611740399666,-0.185222798993996,-0.803987698276368
"2735",-4.63703693083121,-1.35774626215386,-0.191407563658464,-0.806415133663578
"2736",-4.35474460168287,-1.36792393805797,-0.230052138092505,-0.821582599621305
"2737",-4.60428226957912,-1.32111589712937,0.0436333006666694,0.8385639258393
"2738",-4.528913814452,-1.32383320691951,0.0333156916727392,0.834514405680974
"2739",-4.28797098111874,-1.33252008153804,0.000331680788747077,0.821568633355648
"2740",-4.53999243582588,1.12237560907246,0.594406988634991,-0.961989580243162
"2741",-4.46462398069877,1.11965829928232,0.58408937964106,-0.966039100401488
"2742",-4.2236811473655,1.11097142466379,0.551105368757068,-0.978984872726814
"2743",-4.76330728694876,-0.796183760065066,0.246051948590764,-1.57867278499991
"2744",-4.68793883182165,-0.79890106985521,0.235734339596834,-1.58272230515823
"2745",-4.44699599848838,-0.807587944473742,0.202750328712841,-1.59566807748356
